chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
722,-32024,-32750,-30725,-2159,7,0,0
676,-31978,10,2333,30556,-32767,0,0
1047,814,-32763,-30575,30636,1,0,0
1256,877,15,1982,31043,-32748,0,0
1135,1005,15,-30779,31107,-32747,0,0
870,-31780,15,-30774,31021,-32754,0,0
633,888,16,-30634,30612,11,0,0
828,-31933,-32746,1761,30632,-32758,0,0
1035,-31865,-32736,-30931,31035,-32752,0,0
1208,915,25,1836,-1678,25,0,0
1102,839,-32756,1907,31089,7,0,0
776,-31871,18,-30978,31091,-32757,0,0
698,-31743,16,-30959,31091,-32762,0,0
950,1019,39,2059,31097,-32759,0,0
1288,-31850,31,-30633,-1676,-32753,0,0
1212,933,-32740,2072,-1666,18,0,0
811,-31924,-32749,1755,-1674,18,0,0
756,-31952,-32731,-31002,-1676,19,0,0
1083,-31916,-32739,-30774,-1670,-32751,0,0
1284,889,25,-30916,31015,13,0,0
1200,-31808,36,-30763,-2074,-32756,0,0
1020,975,24,-30742,31038,-32755,0,0
691,981,-32748,2160,-1666,-32766,0,0
737,-31784,-32733,1988,-1667,4,0,0
912,-31841,38,2650,31099,3,0,0
1224,925,31,2747,31100,6,0,0
1264,-31885,-32747,-30521,-1672,-32763,0,0
1026,845,30,2290,31101,-32763,0,0
791,808,-32745,2473,-1669,5,0,0
695,801,-32744,2098,-1671,-32765,0,0
911,821,-32739,2092,-1664,-32765,0,0
1198,791,16,-30775,-1666,9,0,0
1276,-31897,5,-30722,31097,-32759,0,0
1260,932,12,-30914,-1667,-32750,0,0
1041,-31853,-32757,-30684,-1664,6,0,0
780,-31847,-32755,-30625,31098,-1,0,0
581,-31850,3,2369,-1666,3,0,0
791,-31896,11,2037,31113,9,0,0
1082,-31983,20,2220,31115,-32766,0,0
1302,802,-32756,-30389,31106,1,0,0
1271,-31903,-32754,-30535,-1754,8,0,0
930,868,-32737,2008,30694,3,0,0
683,862,-32735,-30686,-1722,1,0,0
1022,869,25,2236,31106,-1,0,0
1299,942,-32745,2176,31026,2,0,0
1147,-31802,21,-30823,-2074,-32765,0,0
903,-31903,-32749,2207,30960,14,0,0
673,-31850,16,-30494,-2063,-32753,0,0
932,928,-32750,-30750,-1725,-32766,0,0
1236,-31820,16,-30987,31020,7,0,0
1156,-31902,12,2448,30693,18,0,0
897,821,4,1949,-1734,6,0,0
660,-31945,-32756,-31213,31093,-32765,0,0
690,-31837,-32743,-31220,-1674,-32763,0,0
915,-31820,-32749,1938,-1674,-32759,0,0
1170,-31836,15,2320,31095,9,0,0
1227,930,-32749,2298,-1665,-32749,0,0
871,-31895,-32761,-30682,-1668,-32762,0,0
584,840,-32760,2094,-1757,-32763,0,0
824,841,12,2103,-2077,5,0,0
1184,864,16,-30746,-1715,7,0,0
1150,-31877,-32759,-30864,31094,8,0,0
790,-31885,17,1749,-1674,-32754,0,0
629,833,-32746,2014,-1666,-32752,0,0
838,-31958,-32743,-30876,31097,-32758,0,0
1100,799,-32747,-30942,31090,-32755,0,0
1251,940,-32735,2364,31014,-32755,0,0
1188,914,-32743,1939,-2070,7,0,0
848,-31814,-32749,2040,-1804,-32766,0,0
692,-31876,23,2207,30709,-32768,0,0
872,-31826,-32739,-30524,-1714,-32753,0,0
1155,928,-32749,2304,-1651,-32751,0,0
1167,-31871,-32759,-30456,31101,-32762,0,0
957,-31894,14,-30598,31110,-32763,0,0
683,-31841,-32756,2469,-1670,15,0,0
591,-31891,-32746,2290,31091,25,0,0
879,843,-32753,2090,-1674,15,0,0
1227,848,16,2183,-1675,-32762,0,0
1278,-31883,28,2238,31097,-32759,0,0
1029,844,15,-30385,-1673,-32762,0,0
741,-31903,-32760,-30789,-1740,13,0,0
708,-31867,-32741,-30694,0,-24529,-15318,21628
974,-31867,30,1899,31101,-32762,0,0
1274,963,36,2045,-1754,-32748,0,0
1331,-31767,-32740,1850,-2065,-32758,0,0
1140,-31871,28,1893,-1721,-32764,0,0
820,959,-32740,2346,31100,-32755,0,0
675,-31883,-32737,1942,-1669,-32750,0,0
920,821,-32726,-30499,31095,-32751,0,0
1208,929,-32738,2172,31101,17,0,0
1221,961,25,2216,31100,-32755,0,0
972,876,23,2467,-1666,6,0,0
753,888,13,2131,31100,5,0,0
666,-31876,-32756,-30866,31088,-32757,0,0
924,-31948,13,2049,-1679,-32759,0,0
1263,781,-32750,2058,31016,14,0,0
1279,-31888,-32749,2128,30689,21,0,0
1012,820,-32739,2211,-1809,21,0,0
709,839,29,2228,30614,-32756,0,0
745,-31785,20,-30705,-2132,-32766,0,0
999,964,25,2095,31033,16,0,0
1212,-31772,-32738,-30561,-1676,12,0,0
1269,-31876,20,1964,31095,-32768,0,0
954,-31909,-32753,-30584,31092,-1,0,0
621,-31798,15,2462,31012,32767,0,0
632,953,5,2451,-2155,11,0,0
886,-31871,10,-30521,30634,-32750,0,0
1203,-31807,26,2040,-1725,21,0,0
1297,-31840,21,2278,31100,17,0,0
1183,-31837,10,2420,-1656,-32762,0,0
919,-31913,22,-30766,-1653,-32767,0,0
636,937,9,-30951,-1743,-32756,0,0
867,-31841,-32761,2089,30692,14,0,0
1198,-31873,30,-30576,31029,8,0,0
1292,850,-32742,-30572,31093,32767,0,0
1011,899,24,2224,31099,0,0,0
730,1009,-32756,2249,31096,-32765,0,0
951,-31793,17,-30623,31022,7,0,0
1164,876,-32747,-31044,30623,9,0,0
1183,893,14,-30531,-2125,-32767,0,0
933,867,-32758,-30466,31040,5,0,0
688,-31933,13,-30664,31093,13,0,0
771,-31876,-32755,1839,-1676,-32756,0,0
1201,883,10,-31031,31094,12,0,0
1235,877,-32761,-30657,-1672,-32758,0,0
899,-31914,-32753,-30667,31094,10,0,0
677,-31822,15,-30846,-1668,11,0,0
795,-31772,-32764,-30450,-1667,-32766,0,0
1135,-31779,11,2130,31009,-32758,0,0
1258,926,21,-30880,-2076,-32761,0,0
1013,901,-32748,-30949,31046,-32756,0,0
697,864,-32748,-30838,31104,-32763,0,0
744,875,-32755,-30432,31100,-32760,0,0
956,-31830,-32756,-30807,31111,5,0,0
1153,1031,15,1789,-1736,-32757,0,0
1283,1014,34,2204,-2062,10,0,0
1024,-31851,24,2006,31037,-32767,0,0
749,-31823,-32757,-30899,31022,-32765,0,0
630,950,-32760,-30719,30693,-32758,0,0
873,927,14,-30454,31038,-32760,0,0
1130,-31910,-32756,2172,-1674,21,0,0
1313,813,-32751,2036,-1672,15,0,0
1251,842,5,-30965,-1662,-32755,0,0
1276,-31932,-32753,-30598,-1664,-32766,0,0
1013,-31920,13,-30907,31105,3,0,0
739,870,-32761,1735,31103,-32760,0,0
835,-31930,-32756,-30577,-1661,16,0,0
1180,963,-32759,-30016,31117,13,0,0
1249,-31829,-32759,-30425,31102,-32759,0,0
1294,-31905,-32761,2206,31018,-32758,0,0
1107,-31869,-32756,2104,30623,-32767,0,0
680,871,-32754,1795,30647,-32760,0,0
719,796,23,2017,-1723,-32762,0,0
1059,825,22,-30828,-1674,-32748,0,0
1211,876,-32748,1955,31103,5,0,0
892,927,15,2128,31100,32767,0,0
706,911,16,2053,31102,-32763,0,0
834,911,16,1812,-1663,10,0,0
1103,-31897,-32762,1984,-1673,-32756,0,0
1297,-31835,10,2040,31010,2,0,0
1298,-31988,14,-30907,30697,-1,0,0
1147,748,-32755,-30930,-1800,-1,0,0
812,-31947,21,-30050,-2155,-32760,0,0
727,-31862,-32756,2079,30554,19,0,0
860,891,9,-31010,30640,4,0,0
1178,953,-32758,1819,-1726,1,0,0
1169,-31840,-32751,2032,31101,12,0,0
851,-31882,5,-30679,31018,-32747,0,0
679,835,9,-30963,30624,-32732,0,0
906,812,15,2047,-2118,14,0,0
1276,845,-32752,2152,-1723,12,0,0
1198,-31811,-32757,-30697,31108,18,0,0
811,-31838,-32749,-30528,31112,2,0,0
673,-31793,-32732,2208,31105,-32751,0,0
792,-31808,24,-30600,31103,18,0,0
1099,870,-32751,2275,-1675,-32754,0,0
1287,826,24,2259,-1758,21,0,0
1263,-31901,27,-30581,30690,15,0,0
948,-31966,36,2315,30973,11,0,0
631,-31867,-32740,2082,-2069,5,0,0
847,-31834,-32733,2179,-1725,5,0,0
1166,-31796,35,2251,-1679,15,0,0
1324,867,-32741,2222,31093,10,0,0
1151,-31925,29,-30639,-1666,9,0,0
884,871,23,-30743,-1666,-32762,0,0
669,-31957,-32735,1885,31096,-32754,0,0
956,-31963,-32738,-30704,31095,-32758,0,0
1205,955,16,-30824,31092,5,0,0
1084,-31771,-32757,-30913,-1666,10,0,0
751,-31818,25,1973,31110,12,0,0
674,-31872,-32732,2176,31020,7,0,0
851,923,16,2437,30704,-32759,0,0
1121,883,-32753,-30468,-1721,7,0,0
1199,806,44,2147,31100,4,0,0
934,-31960,-32718,1793,-1668,-32765,0,0
700,842,-32745,1822,-1667,-32763,0,0
737,846,-32734,1709,-1666,5,0,0
1061,793,-32742,1961,-1669,3,0,0
1256,-31911,-32753,2409,-1665,-32765,0,0
1089,852,-32751,-30565,31095,-32764,0,0
701,-31874,23,-30739,31102,-32757,0,0
758,-31844,24,-30399,-1673,14,0,0
1102,936,-32752,2172,31101,7,0,0
1214,885,23,-30512,-1659,-32752,0,0
1142,835,18,-30582,-1669,-16224,1065,-31844
731,842,12,1991,30634,4,0,0
